,Team,From,Rate
0,Arizona Cardinals,1920,0.424
1,Atlanta Falcons,1966,0.44
2,Baltimore Ravens,1996,0.563
3,Buffalo Bills,1960,0.469
4,Carolina Panthers,1995,0.489
5,Chicago Bears,1920,0.567
6,Cincinnati Bengals,1968,0.447
7,Cleveland Browns,1946,0.51
8,Dallas Cowboys,1960,0.571
9,Denver Broncos,1960,0.532
10,Detroit Lions,1930,0.456
11,Green Bay Packers,1921,0.569
12,Houston Texans,2002,0.449
13,Indianapolis Colts,1953,0.529
14,Jacksonville Jaguars,1995,0.436
15,Kansas City Chiefs,1960,0.534
16,Los Angeles Chargers,1960,0.498
17,Los Angeles Rams,1937,0.504
18,Miami Dolphins,1966,0.551
19,Minnesota Vikings,1961,0.545
20,New England Patriots,1960,0.564
21,New Orleans Saints,1967,0.462
22,New York Giants,1925,0.532
23,New York Jets,1960,0.447
24,Oakland Raiders,1960,0.523
25,Philadelphia Eagles,1933,0.49
26,Pittsburgh Steelers,1933,0.535
27,San Francisco 49ers,1946,0.543
28,Seattle Seahawks,1976,0.517
29,Tampa Bay Buccaneers,1976,0.389
30,Tennessee Titans,1960,0.486
31,Washington Redskins,1932,0.498
